,date,headline,source,polarity,subjectivity
0,6/28/2019 4:14:00 PM ,Ontario court upholds validity of Trudeau's federal carbon tax  ,Reuters,0.0,0.0
1,6/28/2019 4:14:00 PM ,Most Latam currencies dip in caution as G20 gets underway  ,Reuters,0.5,0.5
2,6/28/2019 4:10:16 PM - ,US IPO Week Ahead: IPO calendar is free and clear for the Fourth of July  ,Renaissance Capital,0.16666666666666666,0.39444444444444443
3,6/28/2019 4:07:13 PM - ,MDU Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
4,6/28/2019 4:05:00 PM ,Wall St rises as investors eye U.S.-China trade talks at G20  ,Reuters,0.0,0.0
5,6/28/2019 4:05:00 PM ,US STOCKS SNAPSHOT-Wall St rises as investors eye U.S.-China trade talks at G20  ,Reuters,0.0,0.0
6,6/28/2019 4:03:00 PM ,"TSX rises  0.46 percent to 16,382.20  ",Reuters,0.0,0.0
7,6/28/2019 4:03:00 PM - ,Can Tesla Model 3 Deliveries Keep Rising?  ,Motley Fool,0.0,0.0
8,6/28/2019 3:58:53 PM - ,"Health Care Sector Update for 06/28/2019: KRTX,UNH,ARWR,SRNE  ",MT Newswires,0.0,0.0
9,6/28/2019 3:58:05 PM - ,iShares Core S&P Small-Cap Breaks Above 200-Day Moving Average - Bullish for IJR  ,BNK Invest,-0.075,0.25
10,6/28/2019 3:58:02 PM - ,AIT Makes Bullish Cross Above Critical Moving Average  ,BNK Invest,-0.0375,0.325
11,6/28/2019 3:58:00 PM - ,"JinkoSolar Holding Co., Ltd (JKS) Q1 2019 Earnings Call Transcript  ",Motley Fool,0.0,0.0
12,6/28/2019 3:57:57 PM - ,IPG Crosses Above Key Moving Average Level  ,BNK Invest,-0.049999999999999996,0.5
13,6/28/2019 3:57:20 PM - ,"Technology Sector Update for 06/28/2019: VHC,AAPL,PRGS,VRRM,JKS  ",MT Newswires,0.0,0.0
14,6/28/2019 3:55:28 PM - ,"Consumer Sector Update for 06/28/2019: NKE,BJ,STZ,LYV  ",MT Newswires,0.0,0.0
15,6/28/2019 3:53:13 PM - ,"Financial Sector Update for 06/28/2019: OPI,SPG,BRAC,MS,MET  ",MT Newswires,0.0,0.0
16,6/28/2019 3:50:44 PM - ,"Energy Sector Update for 06/28/2019: ENB,ENB.TO,EQT,CHK,CNQ,CNQ.TO,DVN  ",MT Newswires,0.0,0.0
17,6/28/2019 3:44:08 PM - ,"Daily Dividend Report: FNLC, PFE, T, NYT, BFS  ",BNK Invest,0.0,0.0
18,6/28/2019 3:41:00 PM - ,KB Home Stock Wins 4 Upgrades in 2 Days  ,Motley Fool,0.3,0.2
19,6/28/2019 3:31:00 PM ,FOREX-Dollar little changed awaiting G20 trade news  ,Reuters,-0.1875,0.5
20,6/28/2019 3:31:00 PM ,Dollar little changed awaiting G20 trade news  ,Reuters,-0.1875,0.5
22,6/28/2019 3:23:20 PM - ,Constellation Brands Inc (STZ) Q1 2020 Earnings Call Transcript  ,Motley Fool,0.0,0.0
24,6/28/2019 3:19:23 PM - ,"Noteworthy Friday Option Activity: YETI, EXAS, ARLO  ",BNK Invest,0.0,0.0
25,6/28/2019 3:19:12 PM - ,"Notable Friday Option Activity: EXPE, TRUP, LVS  ",BNK Invest,0.5,0.5
26,6/28/2019 3:18:00 PM - ,Magellan Health Mulls Over Possible Sale to Centerbridge  ,Zacks.com,0.0,1.0
27,6/28/2019 3:17:35 PM - ,"Notable Friday Option Activity: CMG, BA, NFLX  ",BNK Invest,0.5,0.5
28,6/28/2019 3:17:15 PM - ,"Noteworthy Friday Option Activity: LNG, NOC, RTN  ",BNK Invest,0.0,0.0
29,6/28/2019 3:17:10 PM - ,"Noteworthy Friday Option Activity: TTD, SHAK, REGN  ",BNK Invest,0.0,0.0
30,6/28/2019 3:17:07 PM - ,"Notable Friday Option Activity: USNA, NRE, SWK  ",BNK Invest,0.5,0.5
31,6/28/2019 3:09:36 PM - ,Top Buys by Directors: Lowe's $151.2K Bet on APA  ,BNK Invest,0.5,0.5
32,6/28/2019 3:05:31 PM - ,"Energy Sector Update for 06/28/2019: BHGE, XOM, CVX, RDS.A, RDS.B, BP, E, COP, TOT, PBR, PBR.A, EC, SLB, HAL, NOV, SPN  ",MT Newswires,0.0,0.0
33,6/28/2019 3:01:00 PM - ,A Conversation on ESG Investing With JUST Capital CEO Martin Whittaker  ,Motley Fool,0.0,0.0
34,6/28/2019 2:58:00 PM - ,These 6 School Stocks Are Worth Considering  ,Zacks.com,0.3,0.1
35,6/28/2019 2:57:00 PM - ,Better Buy for Second Half of 2019: Microsoft (MSFT) vs. Amazon (AMZN) Stock  ,Zacks.com,0.11111111111111112,0.2222222222222222
36,6/28/2019 2:56:00 PM - ,Huawei Ban's Affliction on US Tech Stocks  ,Zacks.com,0.0,0.0
37,6/28/2019 2:53:00 PM - ,Iron Mountain Completes Digital Recording of Stonewall Inn  ,Zacks.com,0.0,0.0
38,6/28/2019 2:45:00 PM - ,Why Shares of EQT Are Trading Higher on Friday  ,Motley Fool,0.25,0.5
39,6/28/2019 2:40:17 PM - ,Friday's ETF with Unusual Volume: ACWX  ,BNK Invest,0.2,1.0
40,6/28/2019 2:39:46 PM - ,"Friday Sector Leaders: Energy, Financial  ",BNK Invest,0.0,0.0
41,6/28/2019 2:39:22 PM - ,"Friday's ETF Movers: OIH, CQQQ  ",BNK Invest,0.0,0.0
42,6/28/2019 2:38:18 PM - ,"Friday Sector Laggards: Precious Metals, Cigarettes & Tobacco Stocks  ",BNK Invest,0.5,1.0
43,6/28/2019 2:37:33 PM - ,"Friday Sector Leaders: Trucking, Construction Stocks  ",BNK Invest,0.0,0.0
44,6/28/2019 2:35:43 PM - ,"Friday Sector Laggards: Technology & Communications, Utilities  ",BNK Invest,0.0,0.0
45,6/28/2019 2:33:00 PM - ,Should You Buy Gold ETFs Now?  ,Zacks.com,0.0,0.0
46,6/28/2019 2:30:00 PM - ,Time to Buy the Crash in Glu Mobile Stock?  ,Motley Fool,0.0,0.0
48,6/28/2019 2:27:08 PM - ,Barnes & Noble Education Inc (BNED) Q4 2019 Earnings Call Transcript  ,Motley Fool,0.6,0.9
49,6/28/2019 2:24:00 PM - ,Design Genius Jony Ive Leaving Apple  ,Zacks.com,0.0,0.0
50,6/28/2019 2:23:00 PM ,U.S. banks play cat-and-mouse game with Fed on capital returns  ,Reuters,-0.4,0.4
51,6/28/2019 2:21:11 PM - ,Kennedy-Wilson Holdings Named Top Dividend Stock With Insider Buying and 4.13% Yield (KW)  ,BNK Invest,0.5,0.5
52,6/28/2019 2:17:00 PM ,Wall St set for best June in decades as G20 convenes  ,Reuters,1.0,0.3
53,6/28/2019 2:17:00 PM ,US STOCKS-Wall St set for best June in decades as G20 convenes  ,Reuters,1.0,0.3
54,6/28/2019 2:15:00 PM ,"Brazil's Petrobras believes Raizen, other distributors interested in refineries  ",Reuters,0.0625,0.4375
